"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"IRL","Ireland","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",14.883,,
"IRL","Ireland","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",27.886,,
"SVN","Slovenia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"KOR","Korea","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",2.33,,
"MEX","Mexico","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",42.871,,
"AUS","Australia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",23.456,,
"ESP","Spain","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",25.927,,
"SVK","Slovak Republic","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NZL","New Zealand","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",25.14,,
"NZL","New Zealand","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",17.722,,
"HUN","Hungary","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"POL","Poland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"POL","Poland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BEL","Belgium","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"BEL","Belgium","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",22.607,,
"MEX","Mexico","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LUX","Luxembourg","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",47.149,,
"LUX","Luxembourg","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NZL","New Zealand","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",24.757,,
"NZL","New Zealand","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",33.246,,
"AUT","Austria","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",20.56,,
"GRC","Greece","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",26.909,,
"AUT","Austria","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",29.897,"w","Includes data from another category"
"ESP","Spain","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",27.353,,
"SVN","Slovenia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",29.189,,
"LVA","Latvia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",35.046,,
"SWE","Sweden","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",23.275,,
"AUT","Austria","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",46.484,,
"NOR","Norway","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"EST","Estonia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",23.044,,
"EST","Estonia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",16.537,,
"MEX","Mexico","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",20.26,,
"BRA","Brazil","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",18.228,,
"FRA","France","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"GRC","Greece","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",19.688,,
"AUS","Australia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",29.888,,
"CHL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",36.813,,
"NZL","New Zealand","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",26.691,,
"NZL","New Zealand","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LUX","Luxembourg","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",20.365,,
"LUX","Luxembourg","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"EST","Estonia","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",22.043,,
"EST","Estonia","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",41.537,,
"LVA","Latvia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",26.018,,
"CZE","Czech Republic","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"IRL","Ireland","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",14.883,,
"IRL","Ireland","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"IRL","Ireland","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",6.862,,
"IRL","Ireland","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"ISR","Israel","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",22.969,,
"SVN","Slovenia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FIN","Finland","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",34.849,,
"FIN","Finland","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LTU","Lithuania","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",19.527,,
"LTU","Lithuania","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"KOR","Korea","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",16.993,,
"MEX","Mexico","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",7.484,,
"ISR","Israel","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"SVN","Slovenia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"IRL","Ireland","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",8.858,,
"IRL","Ireland","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"PRT","Portugal","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"PRT","Portugal","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"JPN","Japan","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",25.928,,
"JPN","Japan","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"CAN","Canada","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NLD","Netherlands","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",17.077,,
"NLD","Netherlands","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",22.408,,
"HUN","Hungary","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",22.542,,
"SWE","Sweden","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",42.484,"w","Includes data from another category"
"ISR","Israel","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHL","Chile","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","T","All expenditure types","T","Total","INST_T","All public and private educational institutions","2015","2015",26.452,,
